ingredient,variety,certification,emissions,category
mushrooms,canned,conventional,2.55,Vegetables
corn,canned,conventional,1.2,"Grains, Beans and Nuts"
tomato,canned,conventional,1.87,Vegetables
beans,canned,conventional,1.21,"Grains, Beans and Nuts"
peas,canned,conventional,1.24,Fruits
chickpeas,canned,conventional,1.25,Vegetables
lentils,canned,conventional,1.46,Vegetables
pineapple,canned,conventional,1.71,Fruits
apricot,canned,conventional,1.7,Fruits
peach,canned,conventional,1.52,Fruits
basil,dried,conventional,3.124,Vegetables
rosemary,dried,conventional,0.532,Vegetables
thyme,dried,conventional,2.812,Vegetables
dates,dried,organic,4.22,"Grains, Beans and Nuts"
tea,dried,conventional,5.06,"Grains, Beans and Nuts"
oregano,dried,conventional,2.362,Vegetables
lentils,dried,conventional,0.61,Vegetables
dates,dried,conventional,3.01,"Grains, Beans and Nuts"
spices,fresh,conventional,0.652,"Grains, Beans and Nuts"
basil,fresh,conventional,0.272,Vegetables
oregano,fresh,conventional,0.572,Vegetables
beetroot,fresh,conventional,0.32,Vegetables
dates,fresh,organic,3.56,"Grains, Beans and Nuts"
crab,frozen,conventional,12.59,Fish and Seafood
crayfish,frozen,conventional,12.59,Fish and Seafood
langostino,frozen,conventional,12.59,Fruits
prawns,frozen,conventional,12.59,Fish and Seafood
scampi,frozen,conventional,12.59,Fish and Seafood
shrimps,frozen,conventional,12.59,Fish and Seafood
brussel sprouts,frozen,conventional,0.59,Vegetables
strawberries,frozen,conventional,0.71,Fruits
blueberries,frozen,conventional,0.64,Fruits
raspberries,frozen,conventional,0.66,Fruits
french fries,frozen,conventional,0.7,"Grains, Beans and Nuts"
beetroot,glass,conventional,1.36,Vegetables
red cabbage,glass,conventional,0.96,Vegetables
kale,glass,conventional,0.8,Vegetables
black-eyed beans,fresh,conventional,0.403,"Grains, Beans and Nuts"
plum,fresh,conventional,0.22,Fruits
burger bun,fresh,conventional,0.61,Meat and Poultry
anise,fresh,conventional,4.526,Fruits
baking powder,fresh,conventional,1.504,Dairy Foods
baking soda,fresh,conventional,1.249,"Grains, Beans and Nuts"
lemon balm,fresh,conventional,0.602,Fruits
balsamic vinegar,fresh,conventional,1.474,Vegetables
bbq sauce,fresh,conventional,0.983,Dairy Foods
bay leaves,fresh,conventional,0.602,"Grains, Beans and Nuts"
cardamom,fresh,conventional,0.652,"Grains, Beans and Nuts"
chervil,fresh,conventional,0.356,Fruits
chia seeds,fresh,conventional,0.92,"Grains, Beans and Nuts"
chili,fresh,conventional,0.681,Vegetables
cinnamon,fresh,conventional,0.643,"Grains, Beans and Nuts"
clove,fresh,conventional,0.492,Vegetables
cilantro,fresh,conventional,0.656,Vegetables
cumin,fresh,conventional,0.652,Vegetables
turmeric,fresh,conventional,0.652,Vegetables
curry,fresh,conventional,0.652,Vegetables
dill,fresh,conventional,0.682,Vegetables
fish sauce,fresh,conventional,2.388,Fish and Seafood
gelatin,fresh,conventional,0.652,Dairy Foods
ginger,fresh,conventional,1.226,Fruits
herbs,fresh,conventional,0.652,Vegetables
ketchup,fresh,conventional,1.352,Meat and Poultry
lemon grass,fresh,conventional,4.562,Fruits
macadamia nuts,fresh,conventional,2.678,"Grains, Beans and Nuts"
marjoram,fresh,conventional,0.602,Vegetables
mayonnaise,fresh,conventional,1.914,Dairy Foods
caraway,fresh,conventional,0.642,Vegetables
mustard,fresh,conventional,1.108,Dairy Foods
mustard seeds,fresh,conventional,4.784,Vegetables
mustard leaves,fresh,conventional,4.784,"Grains, Beans and Nuts"
nutmeg,fresh,conventional,0.367,Dairy Foods
sesame oil,fresh,conventional,3.019,Vegetables
onion powder,fresh,conventional,4.072,Vegetables
paprika,fresh,conventional,4.274,Vegetables
parsley,fresh,conventional,0.682,Vegetables
pecans,fresh,conventional,2.678,"Grains, Beans and Nuts"
pepper,fresh,conventional,5.314,Vegetables
pine nuts,fresh,conventional,2.518,"Grains, Beans and Nuts"
poppy seed,fresh,conventional,0.92,"Grains, Beans and Nuts"
saffron,fresh,conventional,0.692,"Grains, Beans and Nuts"
sage,fresh,conventional,0.682,Vegetables
salt,fresh,conventional,0.584,Vegetables
sea salt,fresh,conventional,0.384,Fish and Seafood
sesame,fresh,conventional,2.612,Fish and Seafood
soy sauce,fresh,conventional,1.344,Dairy Foods
agave syrup,fresh,conventional,0.969,Fruits
tabasco sauce,fresh,conventional,4.274,Dairy Foods
tarragon,fresh,conventional,0.602,Vegetables
tomatoes paste,fresh,conventional,1.732,Vegetables
vanilin,fresh,conventional,2.267,"Grains, Beans and Nuts"
vanilla extract,fresh,conventional,13.827,Dairy Foods
apple vinegar,fresh,conventional,3.284,Fruits
white wine vinegar,fresh,conventional,1.474,Fruits
wasabi,fresh,conventional,0.835,Fish and Seafood
